Country,Indices,Last,High,Low,Chg.,Chg%,Date/Time
Italy,FTSE Italia All Share,"36,089.50","36,453.09","36,049.04",+168.09,+0.47%,11:28:30
Italy,FTSE IT Mid Cap,"46,964.25","47,301.67","46,901.51",+119.03,+0.25%,11:28:30
Italy,FTSE IT Small Cap,"28,068.25","28,276.58","28,051.89",-21.07,-0.08%,11:28:30
Italy,FTSE MIB TR EUR,"81,810.04","81,810.04","81,810.04",+121.66,+0.15%,12/04
Italy,Italy 40,"3,260.1","3,292.6","3,253.2",+17.7,+0.55%,11:34:59
Jamaica,JSE Market,"326,755","326,755","326,755",0,0.00%,12/04
Jamaica,JSE All Jamaican Composite,"366,501","366,501","366,501",0,0.00%,12/04
Japan,Nikkei 225,"39,209.50","39,214.50","38,816.50",-357.50,-0.90%,01:59:59
Japan,JPX-Nikkei 400,"24,907.51","24,907.51","24,620.84",-85.12,-0.34%,02:00:00
Japan,Nikkei 300,590.91,592.92,589.16,+2.27,+0.39%,12/04
Japan,Nikkei 500,"3,364.54","3,379.97","3,360.45",+14.06,+0.42%,12/04
Japan,Nikkei Volatility,19.97,20.37,19.92,-0.76,-3.67%,12/04
Japan,TOPIX,"2,753.20","2,753.20","2,719.47",-6.44,-0.23%,02:00:01
Japan,Topix 100,"1,890.20","1,890.20","1,867.02",-6.78,-0.36%,02:00:00
Japan,Topix 1000,"2,606.16","2,606.16","2,573.92",-6.19,-0.24%,02:00:01
Japan,Topix 500,"2,154.16","2,154.16","2,127.18",-5.50,-0.25%,02:00:01
Jordan,Amman SE General,"2,455.33","2,462.65","2,444.77",+6.08,+0.25%,07:45:00
Jordan,Amman SE AllShare,"4,560.92","4,560.92","4,560.92",+30.19,+0.67%,07:30:00
Kazakhstan,KASE,"4,971.85","4,986.46","4,933.08",-15.33,-0.31%,08:31:00
Kenya,Kenya NSE 20,"1,724.86","1,724.86","1,724.86",-16.26,-0.93%,12/04
Kenya,Nairobi All Share,110.63,110.63,110.63,+0.44,+0.40%,12/04
Kuwait,Main Market 50,"5,823.51","5,853.26","5,769.67",-61.98,-1.05%,14/04
Kuwait,Premier Market PR,"7,780.41","7,811.66","7,762.67",-79.02,-1.01%,14/04
